Vehicle Number,Total Price,Station,Date
59886,128.86,Brothers Gas,
59886,138.77,Brothers Gas,
59886,170.98,Brothers Gas,
59886,17.35,Brothers Gas,
59886,52.04,Brothers Gas,
59886,121.42,Brothers Gas,
59886,128.86,Brothers Gas,
VDXB59886,152.14,ENOC March,
VDXB59886,83.21,ENOC March,
VDXB59886,179.8,ENOC March,
VDXB59886,146.03,ENOC March,
VDXB59886,88.9,ENOC March,
VDXB59886,185.75,ENOC March,
VDXB59886,158.76,ENOC March,
VDXB59886,182.45,ENOC March,
VDXB59886,100,ENOC March,
VDXB59886,55.56,ENOC March,
VDXB59886,147.99,ENOC March,
VDXB59886,68.82,ENOC March,
VDXB59886,44.03,ENOC March,
